description,severity
"May kaso ng pagpatay sa simbahan. Nailigtas ang biktima, naaresto ang mga suspetsado.",High
fight at park. Small value items involved.,Moderate
hostage incident at commercial district. Suspect still present and armed.,Immediate
"May natuklasang smugglin sa palengke. Nakolekta ang ebidensya, natukoy ang suspetsado.",High
May patuloy na gun sa paaralan. Maraming biktima ang kasama.,Immediate
May pag-atake ng assault na nangyayari sa paaralan. Naipit ang mga tao sa loob.,Immediate
May kill na nangyayari ngayon sa paaralan. Kailangan ng agad na tulong ang mga biktima.,Immediate
Parking violation at building. Vehicle parked incorrectly.,Low
May aktibong violence na sitwasyon sa kapitbahayan. Kailangan ng agad na tugon.,Immediate
"May isyu ng nakaw sa barangay. Karaniwang bagay, walang kagyatan.",Moderate
May ingay na kaguluhan sa community center. Umalis ang suspetsado sa lugar.,Moderate
disturbance situation at neighborhood. Property maintenance needed.,Moderate
May aktibong stabbing na sitwasyon sa paaralan. Kailangan ng agad na tugon.,Immediate
Active baril happening at school. Victim in immediate danger.,Immediate
violence attack in progress at barangay. People trapped inside.,Immediate
May guluhin sa apartment. Non-violent na insidente ang naganap.,Moderate
"May nakaraang holdapin sa apartment. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
"May naiulat na seryosong pusher sa park. Na-hospitalize ang biktima, patuloy ang imbestigasyon.",High
sexual assault that occurred at commercial district. Suspects fled before police arrival.,High
May naiulat na guluhin sa mall. Maliit na pinsala ang naganap.,Moderate
"May isyu ng guluhin sa apartment. Karaniwang bagay, walang kagyatan.",Moderate
May nangyayaring pumatay sa palengke. Kailangan ng emergency response.,Immediate
May reklamo ng nakawin sa paaralan. Walang agarang panganib.,Moderate
Active assault happening at neighborhood. Victim in immediate danger.,Immediate
May seryosong rapein na operasyon sa apartment. Malaking pinsala ang naganap.,High
May suspetsado na may attack na nagbabanta sa mga tao sa apartment. Aktibong banta.,Immediate
"May maliit na paglabag sa barangay. Maliit na paglabag, walang banta.",Low
"May awayin sa kanto. Verbal na insidente, walang pisikal na pinsala.",Moderate
May gulo sa residential area. Maliit na halaga ng gamit ang kasama.,Moderate
rape attack in progress at kanto. People trapped inside.,Immediate
"May insidente ng korupsyon sa mall. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
"maintenance at market. Non-violent incident, low priority.",Low
"murder incident at barangay. Large quantity involved, investigation required.",High
May seryosong smugglin na operasyon sa palengke. Malaking pinsala ang naganap.,High
May malaking kaso ng kotongan sa kapitbahayan. Maraming biktima ang apektado.,High
May routine check sa park. Kailangan ng administrative service.,Low
Parking violation at kanto. Vehicle parked incorrectly.,Low
"question at kanto. Minor violation, no threat.",Low
"May isyu ng karaniwan sa barangay. Pangkalahatang tanong, hindi emergency.",Low
Minor question at street corner. Routine maintenance needed.,Low
"parking complaint at kanto. Routine matter, no urgency.",Low
"May reklamo sa komersyal na distrito. Maliit na paglabag, walang banta.",Low
Major assault case at commercial district. Multiple victims affected.,High
rapein incident at neighborhood. Suspect still present and armed.,Immediate
May nangyayaring murder sa mall. Aktibong sinasaktan ng suspetsado ang biktima.,Immediate
"May isyu ng takutan sa komersyal na distrito. Karaniwang bagay, walang kagyatan.",Moderate
"maintenance inquiry at school. Information request, not urgent.",Low
"parking violation issue at building. Routine matter, no urgency.",Moderate
May pag-atake ng baril na nangyayari sa mall. Naipit ang mga tao sa loob.,Immediate
May nakawin sa kapitbahayan. Maliit na halaga ng gamit ang kasama.,Moderate
fight at mall. Non-violent incident occurred.,Moderate
May naiulat na nakaw sa kanto. Maliit na pinsala ang naganap.,Moderate
Suspect with saksakin threatening people at commercial district. Active threat.,Immediate
"Serious kidnap reported at park. Victim hospitalized, investigation ongoing.",High
shooting incident at residential area. Suspect still present and armed.,Immediate
"May isyu ng ingay sa komersyal na distrito. Pangkalahatang tanong, hindi emergency.",Low
"Past rape at market. Suspects at large, investigation needed.",High
"Serious bribery reported at apartment. Victim hospitalized, investigation ongoing.",High
May aktibong terorista na nangyayari sa community center. Nasa agarang panganib ang biktima.,Immediate
"Serious drug cartel reported at apartment. Victim hospitalized, investigation ongoing.",High
assault that occurred at kanto. Suspects fled before police arrival.,High
"Found property at commercial district. Item recovered, no suspect.",Low
May nakawin na kaguluhan sa apartment. Umalis ang suspetsado sa lugar.,Moderate
Ongoing assault at school. Multiple victims involved.,Immediate
May organisadong korupsyon sa palengke. Malaking imbestigasyon ang isinasagawa.,High
Active rapein situation at mall. Immediate response required.,Immediate
"May pag-aayos sa residential area. Non-violent na insidente, mababang priyoridad.",Low
"May kaso ng droga sa komersyal na distrito. Nailigtas ang biktima, naaresto ang mga suspetsado.",High
petty theft at market. Non-violent incident occurred.,Moderate
May aktibong saksak na sitwasyon sa gusali. Kailangan ng agad na tugon.,Immediate
"May naiulat na seryosong pamamaril sa paaralan. Na-hospitalize ang biktima, patuloy ang imbestigasyon.",High
"shooting case at church. Victim rescued, suspects arrested.",High
May naganap na rapein sa park. Nakatakas ang suspetsado.,High
"May nakaraang lagay sa komersyal na distrito. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
May suspetsado na may gun na nagbabanta sa mga tao sa simbahan. Aktibong banta.,Immediate
May aktibong assault na krimen sa park. Nandiyan pa ang mga suspetsado.,Immediate
May pag-atake ng pumatay na nangyayari sa community center. Naipit ang mga tao sa loob.,Immediate
May maliit na reklamo sa palengke. Kailangan ng karaniwang pag-aayos.,Low
May organisadong smugglin sa park. Malaking imbestigasyon ang isinasagawa.,High
May nangyayaring weapon sa mall. Aktibong sinasaktan ng suspetsado ang biktima.,Immediate
"parking violation at church. Suspect fled, no victims present.",Moderate
May sitwasyon ng gulo sa apartment. Kailangan ng pag-aayos ng ari-arian.,Moderate
"attack case at kanto. Victim rescued, suspects arrested.",High
Suspect with hostage threatening people at barangay. Active threat.,Immediate
May malaking kaso ng kidnapin sa apartment. Maraming biktima ang apektado.,High
"May natuklasang smugglin sa simbahan. Nakolekta ang ebidensya, natukoy ang suspetsado.",High
"May maliit na paglabag sa apartment. Maliit na paglabag, walang banta.",Low
fight at kanto. Small value items involved.,Moderate
Active saksak happening at neighborhood. Victim in immediate danger.,Immediate
May maliit na maliit na paglabag sa gusali. Kailangan ng karaniwang pag-aayos.,Low
breaking and entering incident at school. Situation resolved peacefully.,Moderate
"bribery incident at kapitbahayan. Large quantity involved, investigation required.",High
Active bomba situation at barangay. Immediate response required.,Immediate
May insidente ng hostage sa barangay. May armas pa ang suspetsado at nandiyan pa.,Immediate
Ongoing saksak at kapitbahayan. Multiple victims involved.,Immediate
"robbery discovered at barangay. Evidence collected, suspect identified.",High
"Past drug trafficking at barangay. Suspects at large, investigation needed.",High
"May tanong tungkol sa nawawalang gamit sa community center. Hiling ng impormasyon, hindi kagyatan.",Low
"May ingay sa barangay. Nakatakas ang suspetsado, walang biktima.",Moderate
May organisadong lagay sa apartment. Malaking imbestigasyon ang isinasagawa.,High
May insidente ng pamamaril sa komersyal na distrito. May armas pa ang suspetsado at nandiyan pa.,Immediate
May ulat ng natagpuang gamit sa palengke. Para lamang sa insurance.,Low
"May awayin sa kapitbahayan. Nakatakas ang suspetsado, walang biktima.",Moderate
"fraud discovered at church. Evidence collected, suspect identified.",High
May naiulat na nakawin sa barangay. Maliit na pinsala ang naganap.,Moderate
smuggling occurred at building. Suspect fled the scene.,High
May paglabag sa parking sa simbahan. Mali ang pag-park ng sasakyan.,Low
May paglabag sa parking sa mall. Mali ang pag-park ng sasakyan.,Low
May reklamo ng ingay sa komersyal na distrito. Maingay na musika mula sa kapitbahay.,Low
"May kaso ng holdap sa apartment. Nailigtas ang biktima, naaresto ang mga suspetsado.",High
loitering at mall. Non-violent incident occurred.,Moderate
May organisadong kidnapin sa kapitbahayan. Malaking imbestigasyon ang isinasagawa.,High
May routine check sa community center. Kailangan ng administrative service.,Low
fraud that occurred at barangay. Suspects fled before police arrival.,High
Major human trafficking case at residential area. Multiple victims affected.,High
"May isyu ng ingay sa komersyal na distrito. Karaniwang bagay, walang kagyatan.",Moderate
"Serious smuggling reported at residential area. Victim hospitalized, investigation ongoing.",High
murder in progress at residential area. Suspect actively harming victim.,Immediate
hostage happening now at commercial district. Victims need immediate help.,Immediate
"parking violation at apartment. Suspect fled, no victims present.",Moderate
May nangyayaring kidnap sa kapitbahayan. Kailangan ng emergency response.,Immediate
May patuloy na pumatay sa palengke. Maraming biktima ang kasama.,Immediate
"Serious human trafficking reported at street corner. Victim hospitalized, investigation ongoing.",High
"May isyu ng reklamo sa gusali. Pangkalahatang tanong, hindi emergency.",Low
"May tanong sa gusali. Maliit na paglabag, walang banta.",Low
May pag-atake ng murder na nangyayari sa mall. Naipit ang mga tao sa loob.,Immediate
weapon incident at barangay. Suspect still present and armed.,Immediate
Noise complaint at residential area. Loud music from neighbor.,Low
petty theft at community center. Small value items involved.,Moderate
May naiulat na ingay sa komersyal na distrito. Maliit na pinsala ang naganap.,Moderate
Ongoing hostage at park. Multiple victims involved.,Immediate
Lost property report at school. Item turned in for safekeeping.,Low
fight incident at neighborhood. Situation resolved peacefully.,Moderate
May seryosong pusher na operasyon sa community center. Malaking pinsala ang naganap.,High
"attack discovered at church. Evidence collected, suspect identified.",High
smuggling occurred at kanto. Suspect fled the scene.,High
"sexual assault incident at church. Large quantity involved, investigation required.",High
May aktibong kill na nangyayari sa apartment. Nasa agarang panganib ang biktima.,Immediate
"parking issue at kanto. General inquiry, non-emergency.",Low
noise at kanto. Small value items involved.,Moderate
May magnanakaw sa gusali. Maliit na halaga ng gamit ang kasama.,Moderate
Major corruption case at street corner. Multiple victims affected.,High
trespassing at community center. Small value items involved.,Moderate
May kotongan na naganap sa gusali. Nakatakas ang mga suspetsado bago dumating ang pulis.,High
"complaint issue at building. General inquiry, non-emergency.",Low
May naiulat na nawawalang gamit sa palengke. Ibinigay ang gamit para sa pag-iingat.,Low
vandalism situation at mall. Property maintenance needed.,Moderate
May suspetsado na may violence na nagbabanta sa mga tao sa kapitbahayan. Aktibong banta.,Immediate
May naganap na droga sa residential area. Nakatakas ang suspetsado.,High
Serious corruption operation at building. Significant damage occurred.,High
May seryosong lagayan na operasyon sa residential area. Malaking pinsala ang naganap.,High
May reklamo ng pananakot sa komersyal na distrito. Walang agarang panganib.,Moderate
May malaking kaso ng rapein sa simbahan. Maraming biktima ang apektado.,High
"lost property inquiry at kanto. Information request, not urgent.",Low
May aktibong rapein na nangyayari sa kapitbahayan. Nasa agarang panganib ang biktima.,Immediate
"May isyu ng karaniwan sa park. Pangkalahatang tanong, hindi emergency.",Low
May murder na nangyayari ngayon sa simbahan. Kailangan ng agad na tulong ang mga biktima.,Immediate
"disturbance at community center. Suspect fled, no victims present.",Moderate
baril happening now at residential area. Victims need immediate help.,Immediate
"May nakaraang karahasan sa gusali. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
May nangyayaring assault sa palengke. Aktibong sinasaktan ng suspetsado ang biktima.,Immediate
May reklamo ng takutan sa kanto. Walang agarang panganib.,Moderate
theft complaint at mall. No immediate danger.,Moderate
vandalism at market. Small value items involved.,Moderate
Ongoing rape at school. Multiple victims involved.,Immediate
May patuloy na kidnap sa apartment. Maraming biktima ang kasama.,Immediate
"shooting case at residential area. Victim rescued, suspects arrested.",High
May aktibong saksakin na sitwasyon sa paaralan. Kailangan ng agad na tugon.,Immediate
May insidente ng kidnap sa gusali. May armas pa ang suspetsado at nandiyan pa.,Immediate
"May ingay sa palengke. Maliit na paglabag, walang banta.",Low
May aktibong saksak na krimen sa kapitbahayan. Nandiyan pa ang mga suspetsado.,Immediate
May insidente ng gulo sa park. Na-resolve nang mapayapa ang sitwasyon.,Moderate
shoplifting situation at church. Property maintenance needed.,Moderate
"question at residential area. Minor violation, no threat.",Low
May suspetsado na may bomb na nagbabanta sa mga tao sa gusali. Aktibong banta.,Immediate
Major shooting case at kapitbahayan. Multiple victims affected.,High
"fight at mall. Suspect fled, no victims present.",Moderate
May suspetsado na may terrorist na nagbabanta sa mga tao sa palengke. Aktibong banta.,Immediate
disorderly situation at barangay. Property maintenance needed.,Moderate
"May kaso ng holdapin sa palengke. Nailigtas ang biktima, naaresto ang mga suspetsado.",High
May gulo na kaguluhan sa barangay. Umalis ang suspetsado sa lugar.,Moderate
rapein happening now at kapitbahayan. Victims need immediate help.,Immediate
"breaking and entering issue at church. Routine matter, no urgency.",Moderate
May organisadong pusher sa palengke. Malaking imbestigasyon ang isinasagawa.,High
noise situation at commercial district. Property maintenance needed.,Moderate
"May pananakot sa gusali. Verbal na insidente, walang pisikal na pinsala.",Moderate
May pag-atake ng hostage na nangyayari sa simbahan. Naipit ang mga tao sa loob.,Immediate
Active hostage crime at barangay. Suspects still at scene.,Immediate
May seryosong holdapin na operasyon sa kapitbahayan. Malaking pinsala ang naganap.,High
May paglabag sa parking sa gusali. Mali ang pag-park ng sasakyan.,Low
rapein attack in progress at park. People trapped inside.,Immediate
May naganap na holdap sa barangay. Nakatakas ang suspetsado.,High
fight situation at commercial district. Property maintenance needed.,Moderate
"May natuklasang lagayan sa kanto. Nakolekta ang ebidensya, natukoy ang suspetsado.",High
Lost property report at mall. Item turned in for safekeeping.,Low
"May ingay sa residential area. Nakatakas ang suspetsado, walang biktima.",Moderate
rapein happening now at barangay. Victims need immediate help.,Immediate
"May natagpuang gamit sa apartment. Nakuha ang gamit, walang suspetsado.",Low
Noise complaint at kanto. Loud music from neighbor.,Low
May insidente ng takutan sa kanto. Na-resolve nang mapayapa ang sitwasyon.,Moderate
May naiulat na nakawin sa gusali. Maliit na pinsala ang naganap.,Moderate
Noise complaint at residential area. Loud music from neighbor.,Low
"May naiulat na seryosong smugglin sa barangay. Na-hospitalize ang biktima, patuloy ang imbestigasyon.",High
Suspect with kill threatening people at school. Active threat.,Immediate
Routine check at church. Administrative service needed.,Low
May pag-atake ng weapon na nangyayari sa kapitbahayan. Naipit ang mga tao sa loob.,Immediate
Minor found property at apartment. Routine maintenance needed.,Low
Active bomba crime at building. Suspects still at scene.,Immediate
May pagpatay na nangyayari ngayon sa komersyal na distrito. Kailangan ng agad na tulong ang mga biktima.,Immediate
"Serious corruption reported at street corner. Victim hospitalized, investigation ongoing.",High
May reklamo ng nakawin sa kapitbahayan. Walang agarang panganib.,Moderate
May organisadong pamamaril sa komersyal na distrito. Malaking imbestigasyon ang isinasagawa.,High
kidnapin in progress at school. Suspect actively harming victim.,Immediate
May suspetsado na may pamamaril na nagbabanta sa mga tao sa kanto. Aktibong banta.,Immediate
May seryosong lagay na operasyon sa palengke. Malaking pinsala ang naganap.,High
Organized kidnap at park. Major investigation underway.,High
May nangyayaring saksakin sa kapitbahayan. Kailangan ng emergency response.,Immediate
May aktibong rape na nangyayari sa kapitbahayan. Nasa agarang panganib ang biktima.,Immediate
May pag-atake ng saksak na nangyayari sa community center. Naipit ang mga tao sa loob.,Immediate
Major robbery case at barangay. Multiple victims affected.,High
Active attack crime at church. Suspects still at scene.,Immediate
May malaking kaso ng kidnapin sa apartment. Maraming biktima ang apektado.,High
Routine check at neighborhood. Administrative service needed.,Low
"disturbance at church. Verbal incident, no physical harm.",Moderate
rapein happening now at community center. Victims need immediate help.,Immediate
"Found property at commercial district. Item recovered, no suspect.",Low
bomb attack in progress at apartment. People trapped inside.,Immediate
"Past extortion at neighborhood. Suspects at large, investigation needed.",High
May kill na nangyayari ngayon sa palengke. Kailangan ng agad na tulong ang mga biktima.,Immediate
"May pananakot sa paaralan. Verbal na insidente, walang pisikal na pinsala.",Moderate
saksak happening now at street corner. Victims need immediate help.,Immediate
May insidente ng guluhin sa simbahan. Na-resolve nang mapayapa ang sitwasyon.,Moderate
Active terorista happening at mall. Victim in immediate danger.,Immediate
petty theft reported at residential area. Minor damage occurred.,Moderate
"minor violation complaint at neighborhood. Routine matter, no urgency.",Low
May routine check sa palengke. Kailangan ng administrative service.,Low
May aktibong weapon na sitwasyon sa kapitbahayan. Kailangan ng agad na tugon.,Immediate
Active gun crime at park. Suspects still at scene.,Immediate
"May nakaraang lagayan sa palengke. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
"question inquiry at building. Information request, not urgent.",Low
"May kaso ng kotong sa mall. Nailigtas ang biktima, naaresto ang mga suspetsado.",High
Serious drug dealing operation at market. Significant damage occurred.,High
May aktibong saksak na sitwasyon sa kapitbahayan. Kailangan ng agad na tugon.,Immediate
Lost property report at market. Item turned in for safekeeping.,Low
pumatay in progress at commercial district. Suspect actively harming victim.,Immediate
Major bribery case at school. Multiple victims affected.,High
Minor lost property at mall. Routine maintenance needed.,Low
May nangyayaring saksakin sa park. Kailangan ng emergency response.,Immediate
"corruption case at church. Victim rescued, suspects arrested.",High
"Past drug dealing at kanto. Suspects at large, investigation needed.",High
May malaking kaso ng pamamaril sa kapitbahayan. Maraming biktima ang apektado.,High
General lost property at mall. No immediate action needed.,Low
Ongoing stabbing at mall. Multiple victims involved.,Immediate
May nakaw sa paaralan. Non-violent na insidente ang naganap.,Moderate
"May ingay sa barangay. Nakatakas ang suspetsado, walang biktima.",Moderate
May organisadong droga sa apartment. Malaking imbestigasyon ang isinasagawa.,High
"May awayin sa mall. Verbal na insidente, walang pisikal na pinsala.",Moderate
May routine check sa barangay. Kailangan ng administrative service.,Low
May pag-atake ng bomb na nangyayari sa park. Naipit ang mga tao sa loob.,Immediate
"gang violence discovered at commercial district. Evidence collected, suspect identified.",High
noise complaint at apartment. No immediate danger.,Moderate
"property complaint at community center. Routine matter, no urgency.",Low
"routine at mall. Non-violent incident, low priority.",Low
disturbance at park. Non-violent incident occurred.,Moderate
May suspetsado na may kidnapin na nagbabanta sa mga tao sa kapitbahayan. Aktibong banta.,Immediate
May malaking kaso ng pagpatay sa palengke. Maraming biktima ang apektado.,High
"parking violation at commercial district. Verbal incident, no physical harm.",Moderate
May nangyayaring baril sa komersyal na distrito. Aktibong sinasaktan ng suspetsado ang biktima.,Immediate
Noise complaint at kanto. Loud music from neighbor.,Low
parking violation situation at neighborhood. Property maintenance needed.,Moderate
May naganap na rapein sa palengke. Nakatakas ang suspetsado.,High
Suspect with kidnapin threatening people at mall. Active threat.,Immediate
"minor violation inquiry at neighborhood. Information request, not urgent.",Low
"May isyu ng karaniwan sa palengke. Pangkalahatang tanong, hindi emergency.",Low
May insidente ng nakawin sa barangay. Na-resolve nang mapayapa ang sitwasyon.,Moderate
May naganap na droga sa kanto. Nakatakas ang suspetsado.,High
Active attack happening at neighborhood. Victim in immediate danger.,Immediate
"Serious bribery reported at church. Victim hospitalized, investigation ongoing.",High
May nangyayaring saksakin sa mall. Kailangan ng emergency response.,Immediate
May patuloy na pagpatay sa residential area. Maraming biktima ang kasama.,Immediate
May seryosong smugglin na operasyon sa park. Malaking pinsala ang naganap.,High
May insidente ng pananakot sa komersyal na distrito. Na-resolve nang mapayapa ang sitwasyon.,Moderate
"May nakaraang pagpatay sa palengke. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
"trespassing at apartment. Verbal incident, no physical harm.",Moderate
May guluhin sa apartment. Maliit na halaga ng gamit ang kasama.,Moderate
"shoplifting at street corner. Suspect fled, no victims present.",Moderate
May seryosong kotong na operasyon sa kapitbahayan. Malaking pinsala ang naganap.,High
"May kaso ng smugglin sa park. Nailigtas ang biktima, naaresto ang mga suspetsado.",High
pumatay happening now at barangay. Victims need immediate help.,Immediate
May pag-atake ng assault na nangyayari sa kanto. Naipit ang mga tao sa loob.,Immediate
May naiulat na takutan sa residential area. Maliit na pinsala ang naganap.,Moderate
fight complaint at market. No immediate danger.,Moderate
human trafficking occurred at community center. Suspect fled the scene.,High
"routine inquiry at park. Information request, not urgent.",Low
Parking violation at kanto. Vehicle parked incorrectly.,Low
extortion that occurred at park. Suspects fled before police arrival.,High
bomba happening now at building. Victims need immediate help.,Immediate
May pangkalahatang reklamo sa kapitbahayan. Walang kagyat na aksyon na kailangan.,Low
"kidnap discovered at school. Evidence collected, suspect identified.",High
May ulat ng maliit na paglabag sa simbahan. Para lamang sa insurance.,Low
"May reklamo ng ingay sa gusali. Karaniwang bagay, walang kagyatan.",Low
Ongoing terorista at mall. Multiple victims involved.,Immediate
May nangyayaring kidnap sa kapitbahayan. Aktibong sinasaktan ng suspetsado ang biktima.,Immediate
May reklamo ng ingay sa kapitbahayan. Maingay na musika mula sa kapitbahay.,Low
May pusher na naganap sa park. Nakatakas ang mga suspetsado bago dumating ang pulis.,High
May paglabag sa parking sa mall. Mali ang pag-park ng sasakyan.,Low
May sitwasyon ng awayin sa kanto. Kailangan ng pag-aayos ng ari-arian.,Moderate
Organized drug cartel at residential area. Major investigation underway.,High
"May tanong tungkol sa ingay sa apartment. Hiling ng impormasyon, hindi kagyatan.",Low
"Found property at street corner. Item recovered, no suspect.",Low
"May isyu ng tanong sa kanto. Pangkalahatang tanong, hindi emergency.",Low
Active rape crime at residential area. Suspects still at scene.,Immediate
trespassing complaint at park. No immediate danger.,Moderate
Noise complaint at community center. Loud music from neighbor.,Low
"May pananakot sa gusali. Verbal na insidente, walang pisikal na pinsala.",Moderate
May patuloy na hostage sa kapitbahayan. Maraming biktima ang kasama.,Immediate
May naganap na karahasan sa apartment. Nakatakas ang suspetsado.,High
noise complaint at barangay. No immediate danger.,Moderate
rape incident at commercial district. Suspect still present and armed.,Immediate
May aktibong rapein na sitwasyon sa mall. Kailangan ng agad na tugon.,Immediate
"May tanong tungkol sa ingay sa residential area. Hiling ng impormasyon, hindi kagyatan.",Low
saksak happening now at street corner. Victims need immediate help.,Immediate
parking violation at school. Small value items involved.,Moderate
"lost property at building. Minor violation, no threat.",Low
May aktibong attack na nangyayari sa barangay. Nasa agarang panganib ang biktima.,Immediate
May guluhin na kaguluhan sa community center. Umalis ang suspetsado sa lugar.,Moderate
May sitwasyon ng guluhin sa barangay. Kailangan ng pag-aayos ng ari-arian.,Moderate
Organized human trafficking at apartment. Major investigation underway.,High
May suspetsado na may saksak na nagbabanta sa mga tao sa simbahan. Aktibong banta.,Immediate
May pangkalahatang karaniwan sa komersyal na distrito. Walang kagyat na aksyon na kailangan.,Low
Noise complaint at apartment. Loud music from neighbor.,Low
"May pag-aayos sa kapitbahayan. Non-violent na insidente, mababang priyoridad.",Low
May maliit na maliit na paglabag sa kapitbahayan. Kailangan ng karaniwang pag-aayos.,Low
Active karahasan situation at mall. Immediate response required.,Immediate
May patuloy na kidnapin sa kapitbahayan. Maraming biktima ang kasama.,Immediate
Minor lost property at building. Routine maintenance needed.,Low
"harassment at kapitbahayan. Verbal incident, no physical harm.",Moderate
loitering reported at mall. Minor damage occurred.,Moderate
"trespassing at neighborhood. Suspect fled, no victims present.",Moderate
"breaking and entering issue at apartment. Routine matter, no urgency.",Moderate
May naiulat na nawawalang gamit sa komersyal na distrito. Ibinigay ang gamit para sa pag-iingat.,Low
hostage happening now at street corner. Victims need immediate help.,Immediate
"drug trafficking discovered at building. Evidence collected, suspect identified.",High
May suspetsado na may gun na nagbabanta sa mga tao sa apartment. Aktibong banta.,Immediate
May pangkalahatang natagpuang gamit sa kapitbahayan. Walang kagyat na aksyon na kailangan.,Low
extortion occurred at community center. Suspect fled the scene.,High
"May pag-aayos sa gusali. Non-violent na insidente, mababang priyoridad.",Low
"Past assault at park. Suspects at large, investigation needed.",High
"general at market. Non-violent incident, low priority.",Low
May reklamo ng ingay sa residential area. Maingay na musika mula sa kapitbahay.,Low
Suspect with hostage threatening people at community center. Active threat.,Immediate
Routine check at barangay. Administrative service needed.,Low
Ongoing gun at kapitbahayan. Multiple victims involved.,Immediate
"general complaint at building. Routine matter, no urgency.",Low
Lost property report at market. Item turned in for safekeeping.,Low
"May insidente ng kidnapin sa kapitbahayan. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
"May insidente ng droga sa komersyal na distrito. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
Parking violation at school. Vehicle parked incorrectly.,Low
"found property at street corner. Minor violation, no threat.",Low
disturbance disturbance at market. Suspect left the area.,Moderate
"May insidente ng karahasan sa palengke. Malaking dami ang kasama, kailangan ng imbestigasyon.",High
May insidente ng bomba sa palengke. May armas pa ang suspetsado at nandiyan pa.,Immediate
"parking violation at building. Verbal incident, no physical harm.",Moderate
May ulat ng reklamo sa gusali. Para lamang sa insurance.,Low
May rape na nangyayari ngayon sa gusali. Kailangan ng agad na tulong ang mga biktima.,Immediate
May nakawin sa park. Non-violent na insidente ang naganap.,Moderate
"May reklamo ng karaniwan sa apartment. Karaniwang bagay, walang kagyatan.",Low
Lost property report at building. Item turned in for safekeeping.,Low
May organisadong karahasan sa komersyal na distrito. Malaking imbestigasyon ang isinasagawa.,High
May insidente ng guluhin sa simbahan. Na-resolve nang mapayapa ang sitwasyon.,Moderate
Lost property report at community center. Item turned in for safekeeping.,Low
May routine check sa simbahan. Kailangan ng administrative service.,Low
"smuggling case at park. Victim rescued, suspects arrested.",High
May magnanakaw sa residential area. Maliit na halaga ng gamit ang kasama.,Moderate
"Found property at residential area. Item recovered, no suspect.",Low
May pag-atake ng pamamaril na nangyayari sa mall. Naipit ang mga tao sa loob.,Immediate
rape occurred at neighborhood. Suspect fled the scene.,High
"fight issue at commercial district. Routine matter, no urgency.",Moderate
"May naiulat na seryosong holdapin sa kapitbahayan. Na-hospitalize ang biktima, patuloy ang imbestigasyon.",High
"harassment at commercial district. Verbal incident, no physical harm.",Moderate
May aktibong gun na krimen sa barangay. Nandiyan pa ang mga suspetsado.,Immediate
"May reklamo ng natagpuang gamit sa mall. Karaniwang bagay, walang kagyatan.",Low
Active rapein happening at school. Victim in immediate danger.,Immediate
May malaking kaso ng kotongan sa park. Maraming biktima ang apektado.,High
May pangkalahatang natagpuang gamit sa simbahan. Walang kagyat na aksyon na kailangan.,Low
May insidente ng magnanakaw sa simbahan. Na-resolve nang mapayapa ang sitwasyon.,Moderate
disorderly at school. Non-violent incident occurred.,Moderate
Ongoing shooting at apartment. Multiple victims involved.,Immediate
"May kaso ng karahasan sa paaralan. Nailigtas ang biktima, naaresto ang mga suspetsado.",High
"noise issue at building. Routine matter, no urgency.",Moderate
"May pananakot sa residential area. Nakatakas ang suspetsado, walang biktima.",Moderate
May aktibong murder na krimen sa paaralan. Nandiyan pa ang mga suspetsado.,Immediate
"petty theft at street corner. Verbal incident, no physical harm.",Moderate
May sitwasyon ng nakawin sa gusali. Kailangan ng pag-aayos ng ari-arian.,Moderate
"harassment issue at school. Routine matter, no urgency.",Moderate
"May reklamo ng natagpuang gamit sa residential area. Karaniwang bagay, walang kagyatan.",Low
May gulo sa paaralan. Maliit na halaga ng gamit ang kasama.,Moderate
"May kaso ng kidnapin sa residential area. Nailigtas ang biktima, naaresto ang mga suspetsado.",High
loitering reported at building. Minor damage occurred.,Moderate
May reklamo ng ingay sa simbahan. Maingay na musika mula sa kapitbahay.,Low
Active karahasan situation at apartment. Immediate response required.,Immediate
baril incident at building. Suspect still present and armed.,Immediate
fight incident at neighborhood. Situation resolved peacefully.,Moderate
May suspetsado na may baril na nagbabanta sa mga tao sa apartment. Aktibong banta.,Immediate
kidnap in progress at church. Suspect actively harming victim.,Immediate
"extortion case at market. Victim rescued, suspects arrested.",High
shooting happening now at mall. Victims need immediate help.,Immediate
kill attack in progress at building. People trapped inside.,Immediate
parking violation at school. Non-violent incident occurred.,Moderate
Serious assault operation at mall. Significant damage occurred.,High
pagpatay happening now at neighborhood. Victims need immediate help.,Immediate
"May nakaraang rapein sa kapitbahayan. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
"May nakaraang korupsyon sa kanto. Nakatakas ang mga suspetsado, kailangan ng imbestigasyon.",High
vandalism situation at park. Property maintenance needed.,Moderate
Lost property report at street corner. Item turned in for safekeeping.,Low
Active murder crime at building. Suspects still at scene.,Immediate
May seryosong holdap na operasyon sa apartment. Malaking pinsala ang naganap.,High
